Year,Q1,Q2,Q3,Q4,Q1milU,Q2milU,Q3milU,Q4milU,ModelMake,Region,,,,,,,,,,,,,,,,,,
2015,11.57540085,9.50808742,7.387925373,7.468752665,11575400.85,9508087.42,7387925.373,7468752.665,RIM,UK,,,,,,,,,,,,,,,,,,
2016,8.087967553,5.536547995,4.343578188,4.922217215,8087967.553,5536547.995,4343578.188,4922217.215,RIM,UK,,,,,,,,,,,,,,,,,,
2017,2.506429445,1.625065253,1.313562398,1.494445351,2506429.445,1625065.253,1313562.398,1494445.351,RIM,UK,,,,,,,,,,,,,,,,,,
2018,0.547075472,0.369481132,0.292216981,0.331768868,547075.4717,369481.1321,292216.9811,331768.8679,RIM,UK,,,,,,,,,,,,,,,,,,
2010,5.30554662,5.31161704,5.099152358,8.559291458,5305546.62,5311617.04,5099152.358,8559291.458,RIM,US,,,,,,,,,,,,,,,,,,
2011,7.117485194,8.173712984,8.914387244,7.481248292,7117485.194,8173712.984,8914387.244,7481248.292,RIM,US,,,,,,,,,,,,,,,,,,
2012,21.91969191,20.74795892,15.40414634,15.92491656,21919691.91,20747958.92,15404146.34,15924916.56,RIM,US,,,,,,,,,,,,,,,,,,
2013,25.3433487,19.84937313,16.56677575,17.92436045,25343348.7,19849373.13,16566775.75,17924360.45,RIM,US,,,,,,,,,,,,,,,,,,
2014,33.16155847,28.41119609,22.87452201,25.51938862,33161558.47,28411196.09,22874522.01,25519388.62,RIM,US,,,,,,,,,,,,,,,,,,
2015,45.34889552,37.24979104,28.94364179,29.26029851,45348895.52,37249791.04,28943641.79,29260298.51,RIM,US,,,,,,,,,,,,,,,,,,
2016,48.08970708,32.91939162,25.82619198,29.26668319,48089707.08,32919391.62,25826191.98,29266683.19,RIM,US,,,,,,,,,,,,,,,,,,
2017,48.40442088,31.38342577,25.3676509,28.86088091,48404420.88,31383425.77,25367650.9,28860880.91,RIM,US,,,,,,,,,,,,,,,,,,
2018,48.96325472,33.06856132,26.15341981,29.69331368,48963254.72,33068561.32,26153419.81,29693313.68,RIM,US,,,,,,,,,,,,,,,,,,
2010,4.05181917,4.056455118,3.894196914,6.536687677,4051819.17,4056455.118,3894196.914,6536687.677,RIM,China,,,,,,,,,,,,,,,,,,
2011,9.259389522,10.6334738,11.59704328,9.732621868,9259389.522,10633473.8,11597043.28,9732621.868,RIM,China,,,,,,,,,,,,,,,,,,
2012,26.31789474,24.91105263,18.495,19.12026316,26317894.74,24911052.63,18495000,19120263.16,RIM,China,,,,,,,,,,,,,,,,,,
2013,30.64111086,23.99867711,20.02988707,21.67126066,30641110.86,23998677.11,20029887.07,21671260.66,RIM,China,,,,,,,,,,,,,,,,,,
2014,40.05934415,34.32088039,27.6325478,30.82756114,40059344.15,34320880.39,27632547.8,30827561.14,RIM,China,,,,,,,,,,,,,,,,,,
2015,54.84421748,45.04929211,35.00397015,35.38692964,54844217.48,45049292.11,35003970.15,35386929.64,RIM,China,,,,,,,,,,,,,,,,,,
2016,56.32932402,38.55974989,30.25121226,34.28119198,56329324.02,38559749.89,30251212.26,34281191.98,RIM,China,,,,,,,,,,,,,,,,,,
2017,59.24432912,38.41157423,31.0485991,35.32411909,59244329.12,38411574.23,31048599.1,35324119.09,RIM,China,,,,,,,,,,,,,,,,,,
2018,54.03889937,36.49652516,28.86454403,32.77139151,54038899.37,36496525.16,28864544.03,32771391.51,RIM,China,,,,,,,,,,,,,,,,,,
2010,0.864312106,0.865301022,0.830688981,1.394370789,864312.1061,865301.0215,830688.9807,1394370.789,RIM,Canada,,,,,,,,,,,,,,,,,,
2011,1.868154897,2.145387244,2.339794989,1.963633257,1868154.897,2145387.244,2339794.989,1963633.257,RIM,Canada,,,,,,,,,,,,,,,,,,
2012,5.729550706,5.423273427,4.026463415,4.16258665,5729550.706,5423273.427,4026463.415,4162586.65,RIM,Canada,,,,,,,,,,,,,,,,,,
2013,7.84200968,6.14200507,5.126268726,5.546347085,7842009.68,6142005.07,5126268.726,5546347.085,RIM,Canada,,,,,,,,,,,,,,,,,,
2014,10.2332281,8.767327701,7.058781681,7.874953313,10233228.1,8767327.701,7058781.681,7874953.313,RIM,Canada,,,,,,,,,,,,,,,,,,
2015,17.97442217,14.76427292,11.4720597,11.5975693,17974422.17,14764272.92,11472059.7,11597569.3,RIM,Canada,,,,,,,,,,,,,,,,,,
2016,20.80966652,14.24507661,11.17566471,12.66445471,20809666.52,14245076.61,11175664.71,12664454.71,RIM,Canada,,,,,,,,,,,,,,,,,,
2017,17.00221248,11.02353181,8.910471044,10.13747961,17002212.48,11023531.81,8910471.044,10137479.61,RIM,Canada,,,,,,,,,,,,,,,,,,
2018,17.70397013,11.95681997,9.456466195,10.7364092,17703970.13,11956819.97,9456466.195,10736409.2,RIM,Canada,,,,,,,,,,,,,,,,,,
2010,0.611667029,0.612366877,0.587872202,0.986785481,611667.0289,612366.8768,587872.2017,986785.4814,RIM,Africa,,,,,,,,,,,,,,,,,,
2011,1.816364465,2.085911162,2.274929385,1.9091959,1816364.465,2085911.162,2274929.385,1909195.9,RIM,Africa,,,,,,,,,,,,,,,,,,
2012,6.268429611,5.93334617,4.405162602,4.554088575,6268429.611,5933346.17,4405162.602,4554088.575,RIM,Africa,,,,,,,,,,,,,,,,,,
2013,6.982913114,5.469144964,4.564683107,4.938741646,6982913.114,5469144.964,4564683.107,4938741.646,RIM,Africa,,,,,,,,,,,,,,,,,,
2014,8.678957314,7.435704758,5.986660738,6.678868386,8678957.314,7435704.758,5986660.738,6678868.386,RIM,Africa,,,,,,,,,,,,,,,,,,
2015,16.59299574,13.6295629,10.59037313,10.70623667,16592995.74,13629562.9,10590373.13,10706236.67,RIM,Africa,,,,,,,,,,,,,,,,,,
2016,20.13566922,13.78369761,10.81369986,12.25426994,20135669.22,13783697.61,10813699.86,12254269.94,RIM,Africa,,,,,,,,,,,,,,,,,,
2017,16.14012847,10.46459217,8.458672512,9.623466558,16140128.47,10464592.17,8458672.512,9623466.558,RIM,Africa,,,,,,,,,,,,,,,,,,
2018,14.1631761,9.565455975,7.565172956,8.589127358,14163176.1,9565455.975,7565172.956,8589127.358,RIM,Africa,,,,,,,,,,,,,,,,,,
